codice,anno,lunghezza,duso,dtipologia2,nomequart,geo_point_2d,zona_fiu,length,tipologia2,geometry
2103,Precedente 31/12/2021,906.0,Ciclabile,corsia preferenziale bus/bici,Porto - Saragozza,"{ ""lon"": 11.326756293271554, ""lat"": 44.49030872432116 }",SARAGOZZA - SAN LUCA,123.76738996076205,Ciclabile,"LINESTRING (11.3259806895507 44.4902647836061, 11.3260899484809 44.4902723017607, 11.3264141500627 44.4902889756843, 11.3266954783553 44.4903068699382, 11.3275320483922 44.4903501231075)"
2182,Precedente 31/12/2021,50.0,Ciclabile,corsia ciclabile su strada,Porto - Saragozza,"{ ""lon"": 11.329540586717563, ""lat"": 44.490442935609053 }",SARAGOZZA - SAN LUCA,0.81718133802059,Ciclabile,"LINESTRING (11.329535501510525 44.490442416000214, 11.3295456719246 44.4904434552179)"
2182,Precedente 31/12/2021,50.0,Ciclabile,corsia ciclabile su strada,Porto - Saragozza,"{ ""lon"": 11.329502792505412, ""lat"": 44.490439073778703 }",SARAGOZZA - SAN LUCA,5.256263922915485,Ciclabile,"LINESTRING (11.3294700835003 44.4904357315572, 11.329535501510525 44.490442416000214)"
1667,Precedente 31/12/2021,415.0,Ciclabile,sede propria,Borgo Panigale - Reno,"{ ""lon"": 11.273874361048438, ""lat"": 44.52365702323209 }",BORGO PANIGALE,9.3722183191e-05,Ciclabile,"LINESTRING (11.273874360805616 44.52365702284782, 11.27387436129126 44.52365702361636)"
1796,Precedente 31/12/2021,603.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,San Donato - San Vitale,"{ ""lon"": 11.380932361960813, ""lat"": 44.50971674309833 }",SAN DONATO VECCHIO,3.8056928531e-05,Pedonale-Ciclabile,"LINESTRING (11.380932361756267 44.50971674300945, 11.38093236216536 44.50971674318721)"
2231,Precedente 31/12/2021,162.0,Ciclabile,corsia ciclabile su strada,Navile,"{ ""lon"": 11.357120052505444, ""lat"": 44.550213532493778 }",CORTICELLA - DOZZA,162.6884800539203,Ciclabile,"LINESTRING (11.3567394259273 44.5508680214132, 11.3568437652735 44.5507381932134, 11.3569760368612 44.5505703806194, 11.3570966338403 44.5503945782908, 11.357229576489 44.5500863045838, 11.3572637275656 44.5499902442277, 11.3572721765566 44.5499189527695, 11.3572854283551 44.5498071399964, 11.3572999068217 44.549684984531, 11.3573436550056 44.549489688294)"
2176,Precedente 31/12/2021,361.0,Ciclabile,corsia preferenziale bus/bici,Santo Stefano,"{ ""lon"": 11.3646257726774, ""lat"": 44.479306677951897 }",MURRI,49.4260430046651,Ciclabile,"LINESTRING (11.3648108929619 44.4791280891278, 11.3644406523929 44.479485266776)"
1654,Precedente 31/12/2021,42.0,Ciclabile,corsia ciclabile su strada,Santo Stefano,"{ ""lon"": 11.357519402263053, ""lat"": 44.490192582232339 }",MURRI,0.120051550523028,Ciclabile,"LINESTRING (11.357518651719703 44.49019252606358, 11.3575201528064 44.4901926384011)"
1654,Precedente 31/12/2021,42.0,Ciclabile,corsia ciclabile su strada,Santo Stefano,"{ ""lon"": 11.357518557328353, ""lat"": 44.490192518999578 }",IRNERIO,0.015068383199917,Ciclabile,"LINESTRING (11.3575184631232 44.4901925119495, 11.357518651533507 44.49019252604965)"
1933,Precedente 31/12/2021,461.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.357758545373386, ""lat"": 44.487890107955621 }",GALVANI,0.002027975625511,Ciclabile,"LINESTRING (11.357758546526487 44.48789009886802, 11.357758544220284 44.48789011704323)"
1400,Precedente 31/12/2021,60.0,Pedonale-Ciclabile,area pedonale,Santo Stefano,"{ ""lon"": 11.346749873342091, ""lat"": 44.494331078424167 }",IRNERIO,57.86351307586824,Pedonale-Ciclabile,"LINESTRING (11.3465244271292 44.4941883541765, 11.3466034233055 44.4942490618034, 11.3466762604925 44.4942953462523, 11.3467369315949 44.4943064629336, 11.3468593733637 44.4943025031347, 11.3468786046512 44.4943529265587, 11.3468579278154 44.4944272313003, 11.3468340518514 44.4944754276941, 11.3467951040072 44.4945243637971)"
1648,Precedente 31/12/2021,242.0,Ciclabile,corsia preferenziale bus/bici,Porto - Saragozza,"{ ""lon"": 11.3442217165555, ""lat"": 44.500581850523503 }",MARCONI,140.9109156977642,Ciclabile,"LINESTRING (11.3444027429402 44.501202509325, 11.3440406901708 44.499961191722)"
2187,Precedente 31/12/2021,658.0,Ciclabile,corsia preferenziale bus/bici,Porto - Saragozza,"{ ""lon"": 11.298250612982713, ""lat"": 44.488877914011226 }",SARAGOZZA - SAN LUCA,59.48903211237476,Ciclabile,"LINESTRING (11.2979146620307 44.4887602653202, 11.2980822746915 44.4888193246212, 11.2985867145209 44.4889951329935)"
575,Precedente 31/12/2021,161.0,Ciclabile,sede propria,San Donato - San Vitale,"{ ""lon"": 11.360028881748635, ""lat"": 44.49773969677581 }",CIRENAICA - MASSARENTI - SCANDELLARA,161.06258562816117,Ciclabile,"LINESTRING (11.3596431419489 44.4982469849607, 11.3596825257086 44.4982507673524, 11.3598606831571 44.4982756539442, 11.3598830792429 44.4982562186252, 11.360041230842 44.4977571991833, 11.3602022647656 44.4972601953754, 11.3602721322143 44.497021391441)"
2079,Precedente 31/12/2021,604.0,Ciclabile,corsia ciclabile su strada,Navile,"{ ""lon"": 11.356131029254204, ""lat"": 44.551162501135494 }",CORTICELLA - DOZZA,605.2841696124606,Ciclabile,"LINESTRING (11.3536651377794 44.5529221319395, 11.3540538097114 44.5526848013643, 11.3560081770002 44.5515174071702, 11.3562482469195 44.5513276349265, 11.3567394259273 44.5508680214132, 11.3568602768247 44.5507925849355, 11.3569889570341 44.5507325825958, 11.3571872539843 44.5506650556082, 11.3573269849368 44.5506375101987, 11.3574702342581 44.5506123371364, 11.3576243031037 44.5506016844955, 11.3576793624109 44.5504162322659, 11.3575520944142 44.5500428862172, 11.3574373604476 44.5497063693297, 11.3573436550056 44.549489688294, 11.3571451221747 44.5489296190445)"
2178,Precedente 31/12/2021,276.0,Ciclabile,corsia ciclabile su strada,Porto - Saragozza,"{ ""lon"": 11.329225598070972, ""lat"": 44.49046144372852 }",SARAGOZZA - SAN LUCA,49.30123141330914,Ciclabile,"LINESTRING (11.329534235859771 44.49047755380304, 11.32946593115 44.4904672437617, 11.3289162938276 44.4904528909707)"
1827,Precedente 31/12/2021,371.0,Ciclabile,corsia preferenziale bus/bici,Borgo Panigale - Reno,"{ ""lon"": 11.309261214207178, ""lat"": 44.505571208853212 }",SANTA VIOLA,3.81011406531498,Ciclabile,"LINESTRING (11.3092475360357 44.5055852835211, 11.309274892378655 44.50555713418533)"
980,Precedente 31/12/2021,128.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.363033010338597, ""lat"": 44.489105178729957 }",MURRI,0.219909087556913,Ciclabile,"LINESTRING (11.363033559470097 44.48910608679711, 11.3630324612071 44.4891042706628)"
980,Precedente 31/12/2021,128.0,Ciclabile,sede propria,San Donato - San Vitale,"{ ""lon"": 11.363057072136339, ""lat"": 44.489148942416172 }",CIRENAICA - MASSARENTI - SCANDELLARA,10.232389965356399,Ciclabile,"LINESTRING (11.3630805842932 44.4891917971844, 11.363033559979478 44.48910608764794)"
980,Precedente 31/12/2021,128.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.363033559726492, ""lat"": 44.489106087221543 }",MURRI,0.000102867521113,Ciclabile,"LINESTRING (11.363033559979478 44.48910608764794, 11.3630335599292 44.4891060875563, 11.363033559470097 44.48910608679711)"
1132,Precedente 31/12/2021,35.0,Ciclabile,corsia preferenziale bus/bici,Navile,"{ ""lon"": 11.34671386296789, ""lat"": 44.509095160045703 }",BOLOGNINA,35.245747275641044,Ciclabile,"LINESTRING (11.3467632134137 44.5092497630331, 11.3467133250064 44.5090935894731, 11.3466645796862 44.5089405356354)"
